bibliography.congress classifications,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.rank,metadata.url,bibliography.author.birth,bibliography.author.death,bibliography.author.name,bibliography.publication.day,bibliography.publication.full,bibliography.publication.month,bibliography.publication.month name,bibliography.publication.year
PR,en,"Ireland -- Politics and government -- 18th century -- Humor;Religious satire, English;Political satire, English","A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",Text,10014,1080,16,https://www.gutenberg.org/ebooks/1080,1667,1745,"Swift, Jonathan",1,10/01/97,10,October,1997
PR,en,"Dracula, Count (Fictitious character) -- Fiction;Epistolary fiction;Vampires -- Fiction;Gothic fiction (Literary genre);Transylvania (Romania) -- Fiction;Whitby (England) -- Fiction;Horror tales",Dracula,Text,9852,345,17,https://www.gutenberg.org/ebooks/345,1847,1912,"Stoker, Bram",16,08/16/13,8,August,2013
JC,en,"Political ethics -- Early works to 1800;Political science -- Philosophy -- Early works to 1800;State, The -- Early works to 1800",The Prince,Text,9690,1232,18,https://www.gutenberg.org/ebooks/1232,1469,1527,"Machiavelli, Niccolo",11,02/11/06,2,February,2006
PR,en,"London (England) -- History -- 1800-1950 -- Fiction;Conduct of life -- Fiction;Paranormal fiction;Portraits -- Fiction;Appearance (Philosophy) -- Fiction;Supernatural -- Fiction;Great Britain -- History -- Victoria, 1837-1901 -- Fiction;Didactic fiction",The Picture of Dorian Gray,Text,9681,174,19,https://www.gutenberg.org/ebooks/174,1854,1900,"Wilde, Oscar",9,06/09/08,6,June,2008
PG,en,"War stories;Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction;Aristocracy (Social class) -- Russia -- Fiction;Historical fiction;Russia -- History -- Alexander I, 1801-1825 -- Fiction",War and Peace,Text,9580,2600,20,https://www.gutenberg.org/ebooks/2600,1828,1910,"Tolstoy, Leo, graf",1,01/01/70,1,January,1870
PT,en,Fairy tales -- Germany,Grimms' Fairy Tales,Text,9016,2591,21,https://www.gutenberg.org/ebooks/2591,1786,1859,"Grimm, Wilhelm",1,"April, 2001",4,April,2001
HQ,en,"Love,Sex","The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",Text,8559,27827,22,https://www.gutenberg.org/ebooks/27827,0,0,Vatsyayana,18,01/18/09,1,January,2009
PR,en,"Fathers and daughters -- Fiction,Humorous stories,Bildungsromans,England -- Fiction,Mate selection -- Fiction,Female friendship -- Fiction,Young women -- Fiction,Love stories",Emma,Text,8513,158,23,https://www.gutenberg.org/ebooks/158,1775,1817,"Austen, Jane",1,"August, 1994",8,August,1994
PR,en,"Dragons -- Poetry;Epic poetry, English (Old);Monsters -- Poetry",Beowulf: An Anglo-Saxon Epic Poem,Text,8199,16328,24,https://www.gutenberg.org/ebooks/16328,0,0,Unknown,19,07/19/05,7,July,2005
PQ,en,"Paris (France) -- Fiction,Ex-convicts -- Fiction,Epic literature,Orphans -- Fiction,Historical fiction",Les Misérables,Text,7900,135,25,https://www.gutenberg.org/ebooks/135,1802,1885,"Hugo, Victor",22,06/22/08,6,June,2008
PR,en,Erotic stories,The Romance of Lust: A Classic Victorian erotic novel,Text,7458,30254,26,https://www.gutenberg.org/ebooks/30254,0,0,Anonymous,14,10/14/09,10,October,2009
PR,en,"Country homes -- Fiction,Fathers and daughters -- Fiction,Charity-schools -- Fiction,Orphans -- Fiction,Bildungsromans,England -- Fiction,Married people -- Fiction,Mentally ill women -- Fiction,Governesses -- Fiction,Young women -- Fiction,Love stories",Jane Eyre: An Autobiography,Text,7449,1260,27,https://www.gutenberg.org/ebooks/1260,1816,1855,"Bronte, Charlotte",29,04/29/07,4,April,2007
PS,en,American poetry -- 19th century,Leaves of Grass,Text,6899,1322,28,https://www.gutenberg.org/ebooks/1322,1819,1892,"Whitman, Walt",1,"May, 1998",5,May,1998
PR,en,"Short stories,Dublin (Ireland) -- Fiction",Dubliners,Text,6879,2814,29,https://www.gutenberg.org/ebooks/2814,1882,1941,"Joyce, James",1,"September, 2001",9,September,2001
PR,en,"Gentry -- England -- Fiction,Sisters -- Fiction,Social classes -- Fiction,England -- Social life and customs -- 19th century -- Fiction,England -- Fiction,Mate selection -- Fiction,Regency fiction,Inheritance and succession -- Fiction,Domestic fiction,Young women -- Fiction,Love stories",Sense and Sensibility,Text,6503,161,30,https://www.gutenberg.org/ebooks/161,1775,1817,"Austen, Jane",25,05/25/08,5,May,2008
JC,en,"Political science -- Early works to 1800;State, The -- Early works to 1800",Leviathan,Text,6411,3207,31,https://www.gutenberg.org/ebooks/3207,1588,1679,"Hobbes, Thomas",1,"May, 2002",5,May,2002
PR,en,"Self-experimentation in medicine -- Fiction,Psychological fiction,Multiple personality -- Fiction,Physicians -- Fiction,London (England) -- Fiction,Science fiction,Horror tales",The Strange Case of Dr. Jekyll and Mr. Hyde,Text,6410,42,32,https://www.gutenberg.org/ebooks/42,1850,1894,"Stevenson, Robert Louis",1,"October, 1992",10,October,1992
"PR,PZ",en,"Treasure Island (Imaginary place) -- Fiction,Pirates -- Fiction,Treasure troves -- Fiction,Sea stories",Treasure Island,Text,6396,120,33,https://www.gutenberg.org/ebooks/120,1850,1894,"Stevenson, Robert Louis",25,02/25/06,2,February,2006
PR,en,"Revenge -- Fiction,Psychological fiction,Foundlings -- Fiction,Heathcliff (Fictitious character : Brontë) -- Fiction,Triangles (Interpersonal relations) -- Fiction,Rural families -- Fiction,Domestic fiction,Rejection (Psychology) -- Fiction,Yorkshire (England) -- Fiction,Love stories",Wuthering Heights,Text,6237,768,34,https://www.gutenberg.org/ebooks/768,1818,1848,"Bronte, Emily",19,04/19/07,4,April,2007
PR,en,"Africa -- Fiction,Psychological fiction,Imperialism -- Fiction,Trading posts -- Fiction,Europeans -- Africa -- Fiction,Degeneration -- fiction",Heart of Darkness,Text,5875,219,35,https://www.gutenberg.org/ebooks/219,1857,1924,"Conrad, Joseph",1,02/01/95,2,February,1995
PQ,en,"Adventure stories;Revenge -- Fiction;France -- History -- 19th century -- Fiction;Pirates -- Fiction;Historical fiction;Prisoners -- Fiction;Dantès, Edmond (Fictitious character) -- Fiction","The Count of Monte Cristo, Illustrated",Text,5861,1184,36,https://www.gutenberg.org/ebooks/1184,1802,1870,"Dumas, Alexandre",1,"January, 1998",1,January,1998
PR,en,"Fantasy fiction;Satire;Voyages, Imaginary -- Early works to 1800;Travelers -- Fiction;Gulliver, Lemuel (Fictitious character) -- Fiction",Gulliver's Travels into Several Remote Nations of the World,Text,5752,829,37,https://www.gutenberg.org/ebooks/829,1667,1745,"Swift, Jonathan",15,06/15/09,6,June,2009
PS,en,"Louisiana -- Social life and customs -- Fiction,Women -- Louisiana -- New Orleans -- Social conditions -- Fiction,New Orleans (La.) -- Fiction,Self-actualization (Psychology) -- Fiction,Adultery -- Fiction","The Awakening, and Selected Short Stories",Text,5702,160,38,https://www.gutenberg.org/ebooks/160,1850,1904,"Chopin, Kate",11,03/11/06,3,March,2006
"PZ,PR",en,"Peter Pan (Fictitious character) -- Fiction,Fantasy,Fairies -- Juvenile fiction,Never-Never Land (Imaginary place) -- Fiction,Pirates -- Juvenile fiction",Peter Pan,Text,5657,16,39,https://www.gutenberg.org/ebooks/16,1860,1937,"Barrie, J. M. (James Matthew)",1,"July, 1991",7,July,1991
PT,en,"Buddhist philosophy -- Fiction,Religious fiction,Buddhism -- Fiction,India -- Fiction,Gautama Buddha -- Fiction",Siddhartha,Text,5483,2500,40,https://www.gutenberg.org/ebooks/2500,1877,1962,"Hesse, Hermann",6,04/06/08,4,April,2008
"PA,JC",en,"Utopias -- Early works to 1800,Justice -- Early works to 1800,Political science -- Early works to 1800,Classical literature",The Republic,Text,5360,1497,41,https://www.gutenberg.org/ebooks/1497,-428,-348,Plato,1,"October, 1998",10,October,1998
E300,en,"Statesmen -- United States -- Biography;Franklin, Benjamin, 1706-1790",Autobiography of Benjamin Franklin,Text,5169,20203,42,https://www.gutenberg.org/ebooks/20203,1706,1790,"Franklin, Benjamin",28,12/28/06,12,December,2006
PR,en,"Atlantic Ocean -- Fiction;Crusoe, Robinson (Fictitious character) -- Fiction;Adventure stories;Shipwreck survival -- Fiction;Castaways -- Fiction;Islands -- Fiction",The Life and Adventures of Robinson Crusoe,Text,5140,521,43,https://www.gutenberg.org/ebooks/521,0,1731,"Defoe, Daniel",6,04/06/10,4,April,2010
PR,en,"Pastoral poetry,English poetry -- 18th century","Songs of Innocence, and Songs of Experience",Text,5115,1934,44,https://www.gutenberg.org/ebooks/1934,1757,1827,"Blake, William",25,12/25/08,12,December,2008
PQ,en,French essays -- Translations into English,Essays of Michel de Montaigne — Complete,Text,5056,3600,45,https://www.gutenberg.org/ebooks/3600,1533,1592,"Montaigne, Michel de",17,09/17/06,9,September,2006
PQ,en,"Epic poetry, Italian -- Translations into English;Italian poetry -- To 1400 -- Translations into English","The Divine Comedy by Dante, Illustrated",Text,4973,8800,46,https://www.gutenberg.org/ebooks/8800,1265,1321,Dante Alighieri,1,"September, 2005",9,September,2005
PR,en,"Ghost stories;Scrooge, Ebenezer (Fictitious character) -- Fiction;Poor families -- Fiction;Christmas stories;London (England) -- Fiction;Misers -- Fiction;Sick children -- Fiction",A Christmas Carol in Prose; Being a Ghost Story of Christmas,Text,4741,46,47,https://www.gutenberg.org/ebooks/46,1812,1870,"Dickens, Charles",11,08/11/04,8,August,2004
PR,en,"England -- Fiction;Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction;Private investigators -- England -- Fiction",A Study in Scarlet,Text,4703,244,48,https://www.gutenberg.org/ebooks/244,1859,1930,"Doyle, Arthur Conan",1,"April, 1995",4,April,1995
PR,en,"Jungles -- Fiction;Jungle animals -- Fiction;Feral children -- Fiction;Mowgli (Fictitious character) -- Fiction;Adventure stories, English;Animals -- Fiction;Short stories;India -- Fiction",The Jungle Book,Text,4526,236,49,https://www.gutenberg.org/ebooks/236,1865,1936,"Kipling, Rudyard",16,01/16/06,1,January,2006
PG,en,"Saint Petersburg (Russia) -- Fiction,Russia -- Fiction,Detective and mystery stories,Psychological fiction",Crime and Punishment,Text,4483,2554,50,https://www.gutenberg.org/ebooks/2554,1821,1881,"Dostoyevsky, Fyodor",28,03/28/06,3,March,2006
PA,en,"Classical literature;Epic poetry, Greek -- Translations into English;Achilles (Mythological character) -- Poetry;Trojan War -- Poetry",The Iliad,Text,4443,6130,51,https://www.gutenberg.org/ebooks/6130,-750,-650,Homer,1,09/01/06,9,September,2006
B,en,"Philosophy, German;Ethics",Beyond Good and Evil,Text,4347,4363,52,https://www.gutenberg.org/ebooks/4363,1844,1900,"Nietzsche, Friedrich Wilhelm",1,"August, 2003",8,August,2003
PQ,en,"Satire,Optimism -- Fiction",Candide,Text,4339,19942,53,https://www.gutenberg.org/ebooks/19942,1694,1778,Voltaire,27,11/27/06,11,November,2006
TJ,en,"Steam-boilers, Water-tube","Steam, Its Generation and Use",Text,4297,22657,54,https://www.gutenberg.org/ebooks/22657,0,0,Babcock & Wilcox Company,18,09/18/07,9,September,2007
PR,en,"Linguistics teachers -- Drama,London (England) -- Drama,Flower vending -- Drama,Social classes -- Drama,Comedies,Speech and social status -- Drama",Pygmalion,Text,4287,3825,55,https://www.gutenberg.org/ebooks/3825,1856,1950,"Shaw, Bernard",1,"March, 2003",3,March,2003
PR,en,"English drama -- Early modern and Elizabethan, 1500-1600",The Complete Works of William Shakespeare,Text,4166,100,56,https://www.gutenberg.org/ebooks/100,1564,1616,"Shakespeare, William",1,"January, 1994",1,January,1994
PR,en,"Criminals -- Fiction,Orphans -- Fiction,Bildungsromans,London (England) -- Fiction,Kidnapping victims -- Fiction,Boys -- Fiction",Oliver Twist,Text,4066,730,57,https://www.gutenberg.org/ebooks/730,1812,1870,"Dickens, Charles",1,"November, 1996",11,November,1996
PR,en,"Africa -- Fiction,Psychological fiction,Imperialism -- Fiction,Trading posts -- Fiction,Europeans -- Africa -- Fiction,Degeneration -- fiction",Heart of Darkness,Text,3957,526,58,https://www.gutenberg.org/ebooks/526,1857,1924,"Conrad, Joseph",9,01/09/06,1,January,2006
PR,en,English literature -- History and criticism,English Literature: Its History and Its Significance for the Life of the English-Speaking World,Text,3933,10609,59,https://www.gutenberg.org/ebooks/10609,1867,1952,"Long, William J. (William Joseph)",6,01/06/04,1,January,2004
PS,en,"Short stories;United States -- History -- Civil War, 1861-1865 -- Fiction;Prisoners -- Fiction",An Occurrence at Owl Creek Bridge,Text,3850,375,60,https://www.gutenberg.org/ebooks/375,1842,1913,"Bierce, Ambrose",19,03/19/08,3,March,2008
JC,en,"Toleration -- Early works to 1800,Liberty -- Early works to 1800,Political science -- Early works to 1800",Second Treatise of Government,Text,3842,7370,61,https://www.gutenberg.org/ebooks/7370,1632,1704,"Locke, John",1,"January, 2005",1,January,2005
BS,en,Bible,The King James Version of the Bible,Text,3776,10,62,https://www.gutenberg.org/ebooks/10,0,0,Unknown,2,03/02/11,3,March,2011
HQ,en,"Pornography,Sex addicts -- Biography,Erotic literature","My Secret Life, Volumes I. to III.: 1888 Edition",Text,3765,30360,63,https://www.gutenberg.org/ebooks/30360,0,0,Anonymous,1,01/01/88,1,January,1888
"PZ,PS",en,"Fantasy,Oz (Imaginary place) -- Fiction",The Wonderful Wizard of Oz,Text,3704,55,64,https://www.gutenberg.org/ebooks/55,1856,1919,"Baum, L. Frank (Lyman Frank)",1,07/01/08,7,July,2008
JC,en,Liberty,On Liberty,Text,3683,34901,65,https://www.gutenberg.org/ebooks/34901,1806,1873,"Mill, John Stuart",10,01/10/11,1,January,2011
PR,en,"Detective and mystery stories;Holmes, Sherlock (Fictitious character) -- Fiction;Private investigators -- England -- Fiction;Blessing and cursing -- Fiction;Dogs -- Fiction;Dartmoor (England) -- Fiction",The Hound of the Baskervilles,Text,3677,2852,66,https://www.gutenberg.org/ebooks/2852,1859,1930,"Doyle, Arthur Conan",1,"October, 2001",10,October,2001
PR,en,"Male friendship -- Fiction;Thames River (England) -- Fiction;Boats and boating -- England -- Thames River -- Fiction;Dogs -- Fiction;Humorous stories, English;Young men -- Travel -- England -- Thames River -- Fiction",Three Men in a Boat,Text,3647,308,67,https://www.gutenberg.org/ebooks/308,1859,1927,"Jerome, Jerome K. (Jerome Klapka)",19,10/19/10,10,October,2010
"PR,PZ",en,Fantasy,Through the Looking-Glass,Text,3626,12,68,https://www.gutenberg.org/ebooks/12,1832,1898,"Carroll, Lewis",1,"February, 1991",2,February,1991
PR,en,"Science fiction,Dystopias -- Fiction,Time travel -- Fiction",The Time Machine,Text,3599,35,69,https://www.gutenberg.org/ebooks/35,1866,1946,"Wells, H. G. (Herbert George)",2,10/02/04,10,October,2004
HT,en,"Slaves -- United States -- Biography;Slaves -- Great Britain -- Biography;Equiano, Olaudah, 1745-1797","The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself",Text,3526,15399,70,https://www.gutenberg.org/ebooks/15399,1745,1797,"Equiano, Olaudah",17,03/17/05,3,March,2005
PS,en,"Immigrants -- Fiction,Political fiction,Meat industry and trade -- Fiction,Lithuanian Americans -- Fiction,Chicago (Ill.) -- Fiction,Stockyards -- Fiction,Working class -- Fiction",The Jungle,Text,3522,140,71,https://www.gutenberg.org/ebooks/140,1878,1968,"Sinclair, Upton",11,03/11/06,3,March,2006
PT,de,"Erotic stories, German",Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erzählt,Text,3506,31284,72,https://www.gutenberg.org/ebooks/31284,1869,1945,"Salten, Felix",15,02/15/10,2,February,2010
PS,en,"Civil disobedience;Solitude;Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods;Government, Resistance to;Natural history -- Massachusetts -- Walden Woods;Wilderness areas -- Massachusetts -- Walden Woods;Authors, American -- 19th century -- Biography;Walden Woods (Mass.) -- Social life and customs","Walden, and On The Duty Of Civil Disobedience",Text,3501,205,73,https://www.gutenberg.org/ebooks/205,1817,1862,"Thoreau, Henry David",1,"January, 1995",1,January,1995
PR,en,"England -- Fiction,Political fiction,Education -- Fiction,Utilitarianism -- Fiction,Social problems -- Fiction,Domestic fiction",Hard Times,Text,3494,786,74,https://www.gutenberg.org/ebooks/786,1812,1870,"Dickens, Charles",17,03/17/13,3,March,2013
PG,en,"Brothers -- Fiction,Fathers and sons -- Fiction,Didactic fiction,Russia -- Social life and customs -- 1533-1917 -- Fiction",The Brothers Karamazov,Text,3478,28054,75,https://www.gutenberg.org/ebooks/28054,1821,1881,"Dostoyevsky, Fyodor",12,02/12/09,2,February,2009
JK,en,"United States -- Social conditions,Democracy -- United States,United States -- Politics and government",Democracy in America — Volume 1,Text,3455,815,76,https://www.gutenberg.org/ebooks/815,1805,1859,"Tocqueville, Alexis de",21,01/21/06,1,January,2006
PQ,en,"Short stories, French -- Translations into English",Complete Original Short Stories of Guy De Maupassant,Text,3437,3090,77,https://www.gutenberg.org/ebooks/3090,1850,1893,"Maupassant, Guy de",2,10/02/04,10,October,2004
PE,en,"English language -- Composition and exercises;English language -- Grammar -- Problems, exercises, etc.",Practical Grammar and Composition,Text,3434,22577,78,https://www.gutenberg.org/ebooks/22577,1883,0,"Wood, Thomas",11,09/11/07,9,September,2007
PR,en,"England -- Social life and customs -- 19th century -- Fiction,Bildungsromans,Orphans -- Fiction,Child labor -- Fiction,Autobiographical fiction,England -- Fiction,Young men -- Fiction,Boys -- Fiction,Stepfathers -- Fiction",David Copperfield,Text,3427,766,79,https://www.gutenberg.org/ebooks/766,1812,1870,"Dickens, Charles",1,"December, 1996",12,December,1996
E011,en,"Lancaster (Mass.) -- History -- Colonial period, ca. 1600-1775;King Philip's War, 1675-1676;Massachusetts -- Biography;Indian captivities -- Massachusetts;Rowlandson, Mary White, approximately 1635-1711",Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Text,3389,851,80,https://www.gutenberg.org/ebooks/851,0,1711,"Rowlandson, Mary White",1,"March, 1997",3,March,1997
PS,en,"Plantation life -- Fiction,Slavery -- Fiction,Uncle Tom (Fictitious character) -- Fiction,African Americans -- Fiction,Political fiction,Master and servant -- Fiction,Fugitive slaves -- Fiction,Southern States -- Fiction,Slaves -- Fiction,Didactic fiction",Uncle Tom's Cabin,Text,3336,203,81,https://www.gutenberg.org/ebooks/203,1811,1896,"Stowe, Harriet Beecher",1,"January, 1995",1,January,1995
BF,en,Characters and characteristics,How to Analyze People on Sight: Through the Science of Human Analysis: The Five Human Types,Text,3334,30601,82,https://www.gutenberg.org/ebooks/30601,0,0,"Benedict, Ralph Paine",4,12/04/09,12,December,2009
PS,en,"Ghosts -- Fiction,New York (State) -- History -- 1775-1865 -- Fiction",The Legend of Sleepy Hollow,Text,3287,41,83,https://www.gutenberg.org/ebooks/41,1783,1859,"Irving, Washington",1,"October, 1992",10,October,1992
PQ,en,"Voyages around the world -- Fiction,Adventure stories",Around the World in Eighty Days,Text,3248,103,84,https://www.gutenberg.org/ebooks/103,1828,1905,"Verne, Jules",15,05/15/08,5,May,2008
PG,en,"Russia -- Fiction,Adultery -- Fiction,Married women -- Fiction,Didactic fiction,Love stories",Anna Karenina,Text,3208,1399,85,https://www.gutenberg.org/ebooks/1399,1828,1910,"Tolstoy, Leo, graf",1,07/01/98,7,July,1998
PR,en,"Belgians -- England -- Fiction;Private investigators -- England -- Fiction;Detective and mystery stories;Poirot, Hercule (Fictitious character) -- Fiction",The Mysterious Affair at Styles,Text,3192,863,86,https://www.gutenberg.org/ebooks/863,1890,1976,"Christie, Agatha",27,07/27/08,7,July,2008
PS,en,"Pet theft -- Fiction,Animal welfare -- Fiction,Klondike River Valley (Yukon) -- Fiction,Feral dogs -- Fiction,Dogs -- Fiction,Adventure stories,Nature stories,Sled dogs -- Fiction",The Call of the Wild,Text,3141,215,87,https://www.gutenberg.org/ebooks/215,1876,1916,"London, Jack",1,07/01/08,7,July,2008
PZ,en,"Friendship -- Fiction;Country life -- Prince Edward Island -- Fiction;Orphans -- Fiction;Bildungsromans;Prince Edward Island -- History -- 20th century -- Fiction;Canada -- History -- 1867-1914 -- Fiction;Shirley, Anne (Fictitious character) -- Fiction;Girls -- Fiction;Islands -- Fiction",Anne of Green Gables,Text,3089,45,88,https://www.gutenberg.org/ebooks/45,1874,1942,"Montgomery, L. M. (Lucy Maud)",1,1992,1,January,1992
PR,en,"Ship captains -- Fiction,First loves -- Fiction,Regency fiction,Rejection (Psychology) -- Fiction,England -- Social life and customs -- 19th century -- Fiction,Young women -- Fiction,Psychological fiction,Dysfunctional families -- Fiction,Motherless families -- Fiction,Love stories",Persuasion,Text,3079,105,89,https://www.gutenberg.org/ebooks/105,1775,1817,"Austen, Jane",5,06/05/08,6,June,2008
PQ,en,"Picaresque literature,Spain -- Social life and customs -- 16th century -- Fiction,Knights and knighthood -- Spain -- Fiction,Romances",Don Quixote,Text,3043,996,90,https://www.gutenberg.org/ebooks/996,1547,1616,"Cervantes Saavedra, Miguel de",27,07/27/04,7,July,2004
LB,en,"Education -- Social aspects,Education -- Philosophy",Democracy and Education: An Introduction to the Philosophy of Education,Text,3023,852,91,https://www.gutenberg.org/ebooks/852,1859,1952,"Dewey, John",1,"March, 1997",3,March,1997
PR,en,"Autobiographical fiction,Artists -- Fiction,Bildungsromans,Dublin (Ireland) -- Fiction,Young men -- Fiction",A Portrait of the Artist as a Young Man,Text,2979,4217,92,https://www.gutenberg.org/ebooks/4217,1882,1941,"Joyce, James",1,"July, 2003",7,July,2003
PR,en,"Faust, -approximately 1540 -- Drama;Tragedies;Germany -- Drama;Magicians -- Drama",The Tragical History of Doctor Faustus: From the Quarto of 1604,Text,2963,779,93,https://www.gutenberg.org/ebooks/779,1564,1593,"Marlowe, Christopher",1,"January, 1997",1,January,1997
PS,en,"New England -- Fiction,Accident victims -- Fiction,Triangles (Interpersonal relations) -- Fiction,Rural poor -- Fiction,Married people -- Fiction,Domestic fiction",Ethan Frome,Text,2951,4517,94,https://www.gutenberg.org/ebooks/4517,1862,1937,"Wharton, Edith",1,"October, 2003",10,October,2003
PR,en,"Eve (Biblical figure) -- Poetry,Bible. Genesis -- History of Biblical events -- Poetry,Fall of man -- Poetry,Adam (Biblical figure) -- Poetry",Paradise Lost,Text,2942,20,95,https://www.gutenberg.org/ebooks/20,1608,1674,"Milton, John",1,"October, 1991",10,October,1991
PR,en,"Vendetta -- Drama,Verona (Italy) -- Drama,Conflict of generations -- Drama,Juliet (Fictitious character) -- Drama,Romeo (Fictitious character) -- Drama,Youth -- Drama",The Tragedy of Romeo and Juliet,Text,2938,1112,96,https://www.gutenberg.org/ebooks/1112,1564,1616,"Shakespeare, William",1,"November, 1997",11,November,1997
